"","fecha_dia","empresa","producto","menciones_positivas","menciones_negativas","menciones_neutras"
"1",2025-01-01,"Apple","AirPods",384,187,371
"2",2025-01-01,"Apple","App Store",362,214,393
"3",2025-01-01,"Apple","Apple Watch",396,162,393
"4",2025-01-01,"Apple","MacBook",401,182,393
"5",2025-01-01,"Apple","iPad",392,185,379
"6",2025-01-01,"Apple","iPhone",383,195,393
"7",2025-01-01,"Binance","Futures",384,192,377
"8",2025-01-01,"Binance","Margin Trading",407,186,370
"9",2025-01-01,"Binance","P2P",423,196,381
"10",2025-01-01,"Binance","Spot Exchange",378,199,367
"11",2025-01-01,"Binance","Staking",404,191,395
"12",2025-01-01,"Binance","Wallet",377,211,390
"13",2025-01-01,"Coinbase","Earn",388,189,379
"14",2025-01-01,"Coinbase","NFT Marketplace",390,181,348
"15",2025-01-01,"Coinbase","Pro",424,175,381
"16",2025-01-01,"Coinbase","Spot Trading",361,190,372
"17",2025-01-01,"Coinbase","Staking",399,166,369
"18",2025-01-01,"Coinbase","Wallet",385,168,364
"19",2025-01-01,"Meta","Facebook",371,164,416
"20",2025-01-01,"Meta","Horizon Worlds",358,184,405
"21",2025-01-01,"Meta","Instagram",402,168,370
"22",2025-01-01,"Meta","Oculus Rift",371,162,412
"23",2025-01-01,"Meta","Portal",366,214,394
"24",2025-01-01,"Meta","WhatsApp",403,188,385
"25",2025-01-01,"Nike","Air Max",357,210,365
"26",2025-01-01,"Nike","Dri-FIT Apparel",361,195,398
"27",2025-01-01,"Nike","Football Boots",384,226,413
"28",2025-01-01,"Nike","Jordan",407,174,371
"29",2025-01-01,"Nike","Nike+ App",378,188,385
"30",2025-01-01,"Nike","Running Shoes",332,200,377
"31",2025-01-01,"Nvidia","AI Chips",360,193,374
"32",2025-01-01,"Nvidia","Cloud Gaming",376,209,367
"33",2025-01-01,"Nvidia","DLSS Tech",366,191,372
"34",2025-01-01,"Nvidia","GPU Drivers",371,182,396
"35",2025-01-01,"Nvidia","RTX GPUs",383,190,416
"36",2025-01-01,"Nvidia","RTX Laptops",389,189,378
"37",2025-01-01,"Tesla","Model 3",365,200,416
"38",2025-01-01,"Tesla","Model S",398,198,389
"39",2025-01-01,"Tesla","Model X",385,183,385
"40",2025-01-01,"Tesla","Model Y",401,185,385
"41",2025-01-01,"Tesla","Powerwall",402,183,381
"42",2025-01-01,"Tesla","Solar Roof",385,178,387
"43",2025-01-02,"Apple","AirPods",365,207,366
"44",2025-01-02,"Apple","App Store",390,196,370
"45",2025-01-02,"Apple","Apple Watch",374,168,379
"46",2025-01-02,"Apple","MacBook",400,193,401
"47",2025-01-02,"Apple","iPad",372,200,394
"48",2025-01-02,"Apple","iPhone",398,189,406
"49",2025-01-02,"Binance","Futures",370,205,360
"50",2025-01-02,"Binance","Margin Trading",386,170,388
"51",2025-01-02,"Binance","P2P",415,194,405
"52",2025-01-02,"Binance","Spot Exchange",388,174,392
"53",2025-01-02,"Binance","Staking",388,202,361
"54",2025-01-02,"Binance","Wallet",396,197,392
"55",2025-01-02,"Coinbase","Earn",411,198,359
"56",2025-01-02,"Coinbase","NFT Marketplace",380,191,398
"57",2025-01-02,"Coinbase","Pro",396,195,403
"58",2025-01-02,"Coinbase","Spot Trading",415,214,388
"59",2025-01-02,"Coinbase","Staking",376,180,350
"60",2025-01-02,"Coinbase","Wallet",375,207,391
"61",2025-01-02,"Meta","Facebook",391,192,365
"62",2025-01-02,"Meta","Horizon Worlds",399,204,358
"63",2025-01-02,"Meta","Instagram",393,207,389
"64",2025-01-02,"Meta","Oculus Rift",384,183,381
"65",2025-01-02,"Meta","Portal",384,182,367
"66",2025-01-02,"Meta","WhatsApp",360,194,349
"67",2025-01-02,"Nike","Air Max",366,193,389
"68",2025-01-02,"Nike","Dri-FIT Apparel",366,205,380
"69",2025-01-02,"Nike","Football Boots",376,190,392
"70",2025-01-02,"Nike","Jordan",428,193,415
"71",2025-01-02,"Nike","Nike+ App",428,197,404
"72",2025-01-02,"Nike","Running Shoes",384,195,400
"73",2025-01-02,"Nvidia","AI Chips",376,186,368
"74",2025-01-02,"Nvidia","Cloud Gaming",394,194,377
"75",2025-01-02,"Nvidia","DLSS Tech",389,201,424
"76",2025-01-02,"Nvidia","GPU Drivers",373,189,335
"77",2025-01-02,"Nvidia","RTX GPUs",384,180,422
"78",2025-01-02,"Nvidia","RTX Laptops",367,214,432
"79",2025-01-02,"Tesla","Model 3",396,183,396
"80",2025-01-02,"Tesla","Model S",338,169,369
"81",2025-01-02,"Tesla","Model X",385,207,395
"82",2025-01-02,"Tesla","Model Y",353,185,405
"83",2025-01-02,"Tesla","Powerwall",401,198,369
"84",2025-01-02,"Tesla","Solar Roof",368,214,375
"85",2025-01-03,"Apple","AirPods",366,194,361
